ticker,p,d,q
DHER34,1,1,1
DIRR3,1,1,2
DISB34,1,1,2
DMVF3,1,1,1
DOHL4,2,1,2
DOTZ3,2,1,2
DPRO11,1,1,2
DTCY3,1,1,2
DTEX3,2,1,1
DUKB34,2,1,2
DVFF11,1,1,1
DXCO3,2,1,1
E1CO34,2,1,2
E1DU34,2,1,2
E1MR34,1,1,1
E1QN34,1,1,1
E1QR34,1,1,1
E1RI34,1,1,2
E2NP34,1,1,1
E2PA34,1,1,1
E2TS34,2,1,2
EAIN34,1,1,1
EALT3,2,1,1
EALT4,2,1,2
EBAY34,1,1,2
ECOR3,1,1,2
EDGA11,2,1,2
EGAF11,1,1,1
EGIE3,2,1,2
EGYR11,2,1,2
EKTR4,1,1,1
ELAS11,1,1,2
ELCI34,2,1,2
ELET3,2,1,1
ELET6,2,1,1
ELMD3,2,1,1
ELPL4,1,1,2
EMAE4,1,1,2
EMBR3,1,1,2
ENAT3,1,1,2
ENBR3,2,1,2
ENEV3,1,1,2
ENGI3,3,1,3
ENGI4,2,1,2
ENGI11,2,1,2
ENJU3,2,1,2
ENMT4,3,1,2
EPAR3,2,1,2
EQIX34,1,1,2
EQMA3B,1,1,1
EQPA3,2,1,2
EQTL3,2,1,1
ESGB11,1,1,1
ESGD11,1,1,1
ESGU11,1,1,1
ESPA3,2,1,2
ESTC3,1,1,1
ESTR4,2,1,2
ETER3,2,1,1
EUCA3,2,1,3
EUCA4,2,1,1
EURO11,1,1,1
EVBI11,1,1,2
EVEN3,2,1,2
EXES11,1,1,1
EXXO34,1,1,1
EZTC3,3,1,2
F1AN34,2,1,1
F1MC34,1,1,2
F1SL34,2,1,2
F2NV34,1,1,1
F2VR34,2,1,2
FAED11,2,1,2
FATN11,1,1,1
FCFL11,1,1,2
FCXO34,2,1,2
FDMO34,1,1,2
FESA4,1,1,1
FGAA11,1,1,1
FHER3,1,1,2
FIBR3,2,1,2
FIEI3,3,1,2
FIGS11,3,1,2
FIIB11,1,1,2
FIND11,2,1,2
FIQE3,1,1,1
FISC11,2,1,4
FIVN11,2,1,2
FIXA11,1,1,2
FLMA11,3,1,3
FLRP11,1,1,1
FLRY3,1,1,2
FNOR11,1,1,1
FPAB11,1,1,2
FRAS3,2,1,2
FRIO3,2,1,3
FSLR34,2,1,1
FSRF11,3,1,4
FVPQ11,2,1,3
G1DS34,2,1,2
G1LP34,2,1,3
G1SK34,2,1,2
G2DI33,1,1,1
GAME11,2,1,2
GCRI11,2,1,2
GDBR34,2,1,2
GEOO34,2,1,2
GEPA3,1,1,2
GEPA4,1,1,1
GFSA3,2,1,3
GGBR3,2,1,2
GGBR4,3,1,3
GGPS3,2,1,2
GGRC11,2,1,3
GILD34,2,1,2
GMAT3,2,1,2
GMCO34,2,1,3
GNDI3,1,1,1
GOAU3,4,1,4
GOAU4,2,1,3
GOGL34,2,1,2
GOGL35,2,1,2
GOLL4,2,1,2
GPIV33,2,1,2
GPRK34,2,1,3
GPRO34,2,1,1
GPSI34,2,1,2
GRND3,2,1,2
GSFI11,2,1,2
GSGI34,2,1,3
GSHP3,2,1,2
GTWR11,1,1,2
GUAR3,3,1,2
GURU11,1,1,2
H1SB34,2,1,2
H2UB34,2,1,2
HAAA11,4,1,2
HABT11,2,1,3
HAGA3,1,1,1
HAGA4,4,1,4
HALI34,2,1,2
HAPV3,1,1,2
HBCR11,1,1,1
HBOR3,2,1,2
HBRE3,2,1,3
HBSA3,1,1,2
HBTS5,1,1,2
HCRI11,3,1,2
HCTR11,1,1,2
HETA4,4,1,4
HFOF11,2,1,3
HGAG11,2,1,4
HGBS11,2,1,2
HGCR11,2,1,1
HGFF11,2,1,2
HGIC11,1,1,1
HGLG11,2,1,3
HGPO11,2,1,2
HGRE11,3,1,2
HGRU11,3,1,3
HGTX3,2,1,2
HLOG11,2,1,2
HOFC11,3,1,2
HOME34,2,1,2
HOND34,2,1,3
HOOT4,2,1,2
HOSI11,2,1,2
HPDP11,1,1,1
HPQB34,1,1,2
HRDF11,2,1,2
HSLG11,2,1,2
HSML11,2,1,3
HTMX11,2,1,3
HUCG11,1,1,2
HUSC11,1,1,2
HYPE3,2,1,2
I1LM34,2,1,1
IAGR11,2,1,2
IBMB34,1,1,2
IDGR11,2,1,2
IFCM3,2,1,2
IGTA3,2,1,2
IGTI3,1,1,1
IGTI11,1,1,1
IMAB11,1,1,2
INBR32,1,1,2
INEP3,4,1,4
INGG34,2,1,2
INTB3,1,1,1
INTU34,2,1,3
IRBR3,3,1,3
IRDM11,1,1,2
ITIP11,1,1,1
ITIT11,1,1,2
ITLC34,2,1,2
ITSA3,2,1,2
ITSA4,2,1,1
ITUB3,2,1,1
ITUB4,2,1,1
IVVB11,2,1,1
JALL3,1,1,1
JBSS3,1,1,2
JDCO34,1,1,2
JFEN3,2,1,3
JGPX11,2,1,3
JHSF3,2,1,2
JNJB34,2,1,1
JOGO11,1,1,2
JOPA3,1,1,2
JPMC34,2,1,3
JPPA11,1,1,1
JSLG3,2,1,1
JSRE11,2,1,3
JURO11,2,1,2
K2CG34,2,1,3
KCRE11,1,1,1
KEPL3,3,1,2
KFOF11,2,1,2
KHCB34,2,1,3
KISU11,3,1,3
KIVO11,1,1,1
KLBN3,2,1,2
KLBN4,2,1,2
KLBN11,2,1,2
KMBB34,1,1,2
KNCR11,1,1,1
KNHY11,1,1,1
KNIP11,2,1,3
KNOX11,1,1,1
KNRE11,3,1,3
KNRI11,2,1,2
KNSC11,2,1,1
KROT3,1,1,1
KRSA3,2,1,1
L1MN34,2,1,1
LAME4,3,1,3
LAND3,2,1,2
LAVV3,1,1,2
LBRD34,2,1,3
LCAM3,2,1,2
LEVE3,3,1,3
LFTT11,1,1,1
LGCP11,1,1,1
LIFE11,1,1,1
LIGT3,2,1,2
LILY34,3,1,2
LJQQ3,2,1,2
LMTB34,2,1,3
LOGG3,2,1,2
LOGN3,2,1,2
LOWC34,2,1,1
LPSB3,1,1,2
LREN3,1,1,1
LSAG11,1,1,1
LSPA11,1,1,1
LUGG11,1,1,1
LUPA3,2,1,2
LVBI11,1,1,2
LVTC3,1,1,1
LWSA3,1,1,2
M1NS34,1,1,2
M1RN34,1,1,2
M1TA34,1,1,2
M1TC34,1,1,1
M2PW34,2,1,1
M2RV34,1,1,1
M2ST34,2,1,2
MACY34,1,1,1
MALL11,2,1,2
MANA11,1,1,1
MATD3,2,1,2
MAXR11,2,1,2
MBLY3,1,1,1
MCCI11,1,1,1
MCDC34,2,1,2
MDIA3,2,1,2
MDLZ34,1,1,1
MDNE3,2,1,3
MEAL3,3,1,2
MELI34,2,1,2
MELK3,2,1,1
MFAI11,1,1,1
MFCR11,2,1,2
MFII11,2,1,3
MGEL4,3,1,2
MGHT11,2,1,3
MGLU3,2,1,2
MILS3,2,1,1
MLAS3,1,1,1
MMMC34,1,1,1
MMXM3,3,1,3
MNPR3,1,1,1
MOAR3,2,1,1
MOOO34,2,1,1
MOSC34,1,1,1
MOVI3,2,1,1
MRCK34,1,1,2
MRFG3,1,1,2
MRVE3,2,1,2
MSBR34,2,1,2
MSCD34,1,1,1
MSFT34,1,1,2
MTRE3,2,1,1
MTSA4,2,1,2
MULT3,1,1,1
MUTC34,2,1,1
MWET4,2,1,2
MXRF11,2,1,3
MYPK3,1,1,1
N1EM34,2,1,1
N1OW34,1,1,2
N1RG34,2,1,1
N1VO34,1,1,1
N1VS34,2,1,2
N1WG34,1,1,2
N2LY34,2,1,2
N2VC34,1,1,1
NASD11,1,1,1
NATU3,1,1,2
NAVT11,2,1,2
NCRI11,1,1,1
NEOE3,2,1,2
NETE34,1,1,1
NEWL11,2,1,1
NEWU11,1,1,1
NEXP3,2,1,1
NEXT34,1,1,2
NFLX34,2,1,1
NFTS11,4,1,3
NGRD3,1,1,2
NIKE34,1,1,2
NINJ3,3,1,3
NOKI34,1,1,1
NORD3,1,1,1
NSLU11,2,1,2
NTCO3,2,1,2
NUTR3,1,1,1
NVDC34,2,1,1
NVHO11,1,1,1
O1KE34,1,1,1
O2HI34,1,1,1
ODPV3,1,1,1
OFSA3,1,1,2
OGXP3,3,1,2
OIAG11,1,1,1
OIBR3,2,1,1
OIBR4,5,1,4
ONCO3,1,1,2
OPCT3,2,1,1
ORCL34,1,1,2
ORLY34,1,1,2
ORVR3,1,1,1
OSXB3,1,1,1
OUFF11,1,1,2
OUJP11,2,1,2
OURE11,1,1,1
OXYP34,1,1,1
P1DD34,1,1,1
P1GR34,1,1,1
P1LD34,1,1,2
P1SA34,1,1,2
P2AN34,1,1,1
P2AT34,1,1,2
P2EN34,1,1,1
P2LT34,1,1,1
PABY11,1,1,2
PAGS34,1,1,1
PATC11,1,1,2
PATL11,2,1,2
PCAR3,3,1,2
PCAR4,1,1,1
PDGR3,1,1,1
PDTC3,4,1,3
PEAB3,1,1,2
PEAB4,2,1,1
PEPB34,1,1,1
PETR3,1,1,2
PETR4,2,1,2
PETZ3,1,1,1
PFIZ34,2,1,2
PFRM3,2,1,1
PGCO34,2,1,2
PGMN3,2,1,3
PHGN34,1,1,1
PHMO34,1,1,1
PICE11,2,1,2
PINE3,1,1,2
PINE4,2,1,1
PLAS3,2,1,2
PLCR11,3,1,3
PLPL3,2,1,1
PLRI11,1,1,1
PMAM3,2,1,2
PNVL3,2,1,2
POMO3,1,1,2
POMO4,1,1,2
PORD11,1,1,1
PORT3,1,1,2
POSI3,1,1,2
PPLA11,2,1,3
PQAG11,1,1,1
PQDP11,2,1,1
PRIO3,2,1,2
PRNR3,1,1,2
PRSV11,1,1,1
PSSA3,2,1,2
PTBL3,3,1,2
PTNT3,2,1,4
PTNT4,1,1,2
PYPL34,2,1,2
Q2SC34,1,1,1
QAGR11,2,1,4
QBTC11,1,1,1
QCOM34,2,1,1
QDFI11,1,1,1
QETH11,1,1,1
QUAL3,2,1,2
R1CL34,1,1,1
R1IN34,1,1,1
R1OP34,1,1,1
R2BL34,2,1,1
R2DF34,2,1,1
RADL3,2,1,2
RAIL3,2,1,3
RAIZ4,1,1,1
RANI3,2,1,2
RAPT3,3,1,5
RAPT4,3,1,2
RBDS11,1,1,2
RBED11,2,1,2
RBFF11,2,1,1
RBHY11,1,1,1
RBIF11,1,1,1
RBIR11,2,1,1
RBOP11,2,1,1
RBRD11,2,1,1
RBRF11,2,1,2
RBRL11,2,1,1
RBRP11,1,1,1
RBRR11,3,1,3
RBRS11,1,1,1
RBRX11,1,1,2
RBRY11,1,1,1
RBVA11,1,1,1
RBVO11,1,1,1
RCFA11,1,1,1
RCRB11,2,1,2
RCSL3,2,1,2
RCSL4,1,1,2
RDCD3,1,1,1
RDNI3,2,1,1
RDOR3,2,1,1
RECR11,1,1,1
RECT11,3,1,2
RECV3,1,1,1
RECX11,1,1,1
REDE3,1,1,1
REGN34,2,1,1
RELG11,2,1,2
RENT3,2,1,1
REVE11,1,1,1
RFOF11,2,1,2
RIGG34,1,1,1
RINV11,2,1,2
RIOT34,1,1,2
RMAI11,1,1,1
RNDP11,2,1,2
RNEW3,2,1,1
RNEW4,1,1,1
RNEW11,1,1,2
RNGO11,2,1,2
ROMI3,2,1,2
ROST34,1,1,2
RPMG3,1,1,1
RPRI11,1,1,1
RRRP3,2,1,1
RSID3,2,1,2
RSPD11,1,1,1
RSUL4,2,1,2
RVBI11,2,1,2
RYTT34,1,1,2
RZAG11,1,1,1
RZTR11,1,1,1
S1BS34,1,1,1
S1LG34,1,1,2
S1PO34,2,1,1
S2EA34,4,1,2
S2ED34,1,1,1
S2HO34,1,1,1
S2NW34,1,1,1
S2QU34,1,1,1
S2TA34,1,1,1
S2UI34,2,1,1
SADI11,1,1,1
SANB3,3,1,2
SANB4,2,1,2
SANB11,2,1,2
SAPR3,1,1,2
SAPR4,2,1,2
SAPR11,1,1,2
SARE11,2,1,1
SBFG3,2,1,1
SBSP3,1,1,2
SBUB34,2,1,1
SCAR3,1,1,2
SCHW34,1,1,2
SCPF11,1,1,1
SCVB11,1,1,1
SEER3,3,1,2
SEQL3,1,1,2
SEQR11,1,1,1
SHOT11,2,1,1
SHOW3,2,1,3
SHPH11,1,1,2
SHUL4,2,1,2
SIMH3,1,1,1
SIMN34,2,1,1
SJAU11,1,1,1
SLBG34,1,1,2
SLCE3,2,1,2
SMFT3,1,1,1
SMLS3,1,1,2
SMTO3,2,1,2
SNCI11,1,1,1
SNEC34,2,1,2
SNLG11,2,1,2
SNSY3,1,1,2
SNSY5,1,1,2
SOJA3,1,1,1
SOMA3,2,1,3
SPTW11,1,1,1
SPXB11,1,1,1
SPXI11,2,1,2
SPXS11,3,1,3
SRNA3,1,1,1
SRXM34,3,1,3
SSFO34,2,1,1
STBP3,1,1,2
STOC31,3,1,3
STZB34,1,1,1
SULA11,2,1,1
SUZB3,2,1,2
SUZB5,2,1,1
SVAL11,1,1,1
SVAL11,1,1,1
SYNE3,2,1,4
T1AL34,4,1,3
T1DG34,1,1,1
T1OW34,1,1,2
T1TW34,2,1,2
T2DH34,3,1,2
T2TD34,3,1,2
TAEE3,2,1,1
TAEE4,2,1,2
TAEE11,2,1,1
TAKP34,2,1,2
TASA3,2,1,2
TASA4,3,1,2
TBLE3,2,1,3
TCSA3,2,1,3
TECK11,1,1,2
TECN3,2,1,2
TELB3,2,1,2
TELB4,4,1,2
TEND3,3,1,2
TEPP11,2,1,2
TEXA34,2,1,2
TFCO4,1,1,1
TGAR11,3,1,2
TGMA3,4,1,2
TGTB34,2,1,2
TIMP3,2,1,1
TIMS3,1,1,2
TLNC34,1,1,2
TMCO34,1,1,1
TMOS34,1,1,1
TMOS34,1,1,1
TMPS11,1,1,1
TOTS3,2,1,2
TPIS3,3,1,3
TRAD3,1,1,1
TRIS3,3,1,3
TRNT11,1,1,1
TRPL3,2,1,2
TRPL4,2,1,3
TRXF11,2,1,2
TSLA34,2,1,1
TSMC34,2,1,1
TTEN3,1,1,1
TUPY3,1,1,1
TXRX4,1,1,1
TXSA34,2,1,2
U1AL34,2,1,1
U1BE34,1,1,1
U1RI34,2,1,2
U2PS34,1,1,1
U2PW34,2,1,3
U2ST34,2,1,3
UBSG34,1,1,2
UCAS3,1,1,2
UGPA3,1,1,1
ULEV34,1,1,2
UNHH34,1,1,1
UNIP3,2,1,2
UNIP5,1,1,1
UNIP6,1,1,2
UPSS34,1,1,2
URET11,1,1,2
USAL11,1,1,1
USBC34,2,1,2
USDB11,1,1,1
USIM3,1,1,2
USIM5,1,1,2
USTK11,1,1,1
V1IP34,2,1,3
V1NO34,2,1,3
V1OD34,1,1,1
VALE3,1,1,2
VALE5,2,1,2
VAMO3,2,1,3
VBBR3,1,1,1
VCJR11,1,1,1
VCRI11,3,1,2
VCRR11,2,1,2
VERZ34,1,1,1
VGHF11,2,1,3
VGIA11,1,1,2
VGIP11,1,1,1
VGIR11,2,1,3
VIFI11,2,1,3
VIIA3,3,1,2
VILG11,2,1,3
VINO11,3,1,3
VISA34,2,1,2
VISC11,3,1,3
VITT3,1,1,2
VIVA3,1,1,1
VIVR3,4,1,3
VIVT3,2,1,2
VIVT4,1,1,1
VLID3,1,1,2
VLOE34,1,1,2
VLYB34,1,1,2
VOTS11,1,1,1
VRTA11,3,1,3
VRTX34,1,1,1
VSHO11,2,1,1
VSLH11,1,1,2
VTLT11,2,1,2
VULC3,2,1,2
VVAR3,3,1,2
VVAR11,2,1,2
VVCO11,1,1,2
VVCR11,1,1,1
VVEO3,1,1,1
W1BD34,1,1,2
W1BO34,1,1,2
W1EL34,2,1,1
W1HR34,2,1,1
W1IX34,1,1,2
W2OL34,1,1,1
W2OL34,1,1,1
WALM34,2,1,1
WEGE3,3,1,2
WEST3,1,1,1
WFCO34,1,1,2
WGBA34,1,1,2
WHGR11,1,1,1
WHRL3,3,1,3
WHRL4,2,1,2
WIZC3,2,1,2
WLMM4,1,1,1
WPLZ11,1,1,2
WSEC11,1,1,1
WUNI34,2,1,3
XBOV11,2,1,2
XFIX11,2,1,1
XPBR31,1,1,1
XPCA11,2,1,2
XPCI11,2,1,3
XPCM11,2,1,3
XPIN11,1,1,1
XPLG11,2,1,2
XPML11,1,1,2
XPPR11,2,1,3
XPSF11,1,1,1
XRXB34,1,1,1
YDUQ3,2,1,1
Z2LL34,1,1,1
Z2SC34,1,1,1
